Wilayah,Provinsi,Kabupaten/Kota,Nama Wisata,Rating,Reviews,Jenis Wisata,Latitude,Longitude
Sumatra,Aceh,Bener Meriah,Cot Panglima,4.3,156,Taman,5.025254601,96.72244692
Sumatra,Aceh,Bener Meriah,Air Terjun Taufiqurrahman,4,13,Air,4.985239015,96.8216672
Sumatra,Aceh,Bener Meriah,Agrowisata Krueng Simpo,3.8,22,Taman,5.07518513,96.72588015
Sumatra,Aceh,Bener Meriah,Pantai Peuneulet Baröh,3.9,17,Air,5.23276379,96.49430229
Sumatra,Aceh,Bener Meriah,Air Terjun Piramida,3.7,23,Air,5.157201135,96.39164879
Sumatra,Aceh,Bener Meriah,Wisata Alam Air Terjun Alue Limeng,5,11,Air,5.131470659,96.68084811
Sumatra,Aceh,Bener Meriah,Puncak Teulaga Maneh,4.4,34,Taman,5.186179784,96.65578555
Sumatra,Aceh,Bener Meriah,PANTAI UJONG SEUKEE,4.2,316,Air,5.212506863,96.59879398
Sumatra,Aceh,Bener Meriah,Beurawang Water Boom,4.1,22,Air,5.235072053,96.65887546
Sumatra,Aceh,Bener Meriah,Pantai Ujong Blang Bireuen,4,432,Air,5.240884168,96.71930026
Sumatra,Aceh,Bener Meriah,Bukit Cinta Santewan Indah,4.7,7,Bukit,5.197462953,96.68702792
Sumatra,Aceh,Bener Meriah,Pantai Wisata Kuala Jangka,4.1,1182,Air,5.264261119,96.80356102
Sumatra,Aceh,Bener Meriah,Wisata Pantai Laut,3.8,17,Air,5.279132489,96.86003762
Sumatra,Aceh,Bener Meriah,Pantai Cemara Lingka Kuta,4,242,Air,5.248705628,96.90415459
Sumatra,Aceh,Bener Meriah,Waterboom gunung halimon 2,5,11,Air,5.183739956,96.64196078
Sumatra,Aceh,Gayo Lues,Mt. Leuser,4.1,120,Bukit,3.76675345,97.20363527
Sumatra,Aceh,Gayo Lues,Air Terjun Kolam Biru Rerebe,4.3,224,Air,4.147761102,97.05977836
Sumatra,Aceh,Gayo Lues,Bur Tipis,4.1,7,Bukit,3.97122233,96.87919059
Sumatra,Aceh,Gayo Lues,Wisata Air Terjun Marpunge,5,1,Air,3.742187023,97.62018846
Sumatra,Aceh,Gayo Lues,Pantan cuaca,4.7,3,Air,4.205025011,97.14214447
Sumatra,Aceh,Gayo Lues,Taman Wisata ATU PELTAK,4.6,17,Taman,4.094080057,97.31929901
Sumatra,Aceh,Gayo Lues,Objek Wisata Lestari Ayu Kedah,4.7,6,Taman,4.00572398,97.20394257
Sumatra,Aceh,Gayo Lues,Tugu Negeri Seribu Bukit,4.6,41,Taman,3.968049871,97.41817597
