Wilayah,Provinsi,Kabupaten/Kota,Nama Wisata,Rating,Reviews,Jenis Wisata,Latitude,Longitude,Jenis Wisata Encoded,Kabupaten/Kota Encoded,Nama Wisata Encoded,Wisata_Air,Wisata_Bukit,Wisata_Monumen,Wisata_Religi,Wisata_Taman
Sumatra,Aceh,Aceh Barat,masjid agung baitul makmur meulaboh,4.7,3159,Religi,4.158908807,96.12490107,3,0,5895,False,False,False,True,False
Sumatra,Aceh,Aceh Barat,sunset point meulaboh,4.9,11,Air,4.146321208,96.11700354,0,0,10914,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,taman pantai kasih,3.9,290,Taman,4.188911207,96.27083235,4,0,11782,False,False,False,False,True
Sumatra,Aceh,Aceh Barat,agrowisata geureudong,4.3,6,Taman,4.151971813,96.120513,4,0,68,False,False,False,False,True
Sumatra,Aceh,Aceh Barat,tugu tsunami gampong pasir,4.3,25,Monumen,4.134454309,96.1272762,2,0,13022,False,False,True,False,False
Sumatra,Aceh,Aceh Barat,taman jembes,3.8,221,Taman,4.154850009,96.14017658,4,0,11407,False,False,False,False,True
Sumatra,Aceh,Aceh Barat,kolam pemandian muara louser,4.0,1,Air,3.60222646,96.95614342,0,0,5036,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,air terjun ceuraceu panto cut,4.2,15,Air,3.829527393,96.77680195,0,1,316,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,pantai ujong manggeng,4.1,77,Air,3.61405216,96.89975524,0,1,8863,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,pantai suak udeung,4.2,6,Air,3.603128099,96.90733308,0,1,8631,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,pantai blang padang,3.9,21,Air,3.662452567,96.8877991,0,1,7224,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,ceuraceu krueng batee,4.7,15,Air,3.824003657,96.80929062,0,1,2621,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,pantai bali abdya,4.2,197,Air,3.71365029,96.83104592,0,1,7069,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,puncak batee lhee (gunong sabi),4.6,8,Bukit,3.620470898,96.95280438,1,1,9765,False,True,False,False,False
Sumatra,Aceh,Aceh Barat Daya,kolam pemandian krueng baru,4.5,2,Air,3.605431684,96.95470782,0,1,5035,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,pusong island,4.8,9,Air,3.702264741,96.82493815,0,1,10088,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,taman cemara indah,4.0,24,Taman,3.72828033,96.81495164,4,1,11242,False,False,False,False,True
Sumatra,Aceh,Aceh Barat Daya,taman wisata ujong lhok pawoh,4.2,43,Taman,3.623765045,96.89561541,4,1,12263,False,False,False,False,True
Sumatra,Aceh,Aceh Barat Daya,kolam pemandian muara louser,4.0,1,Air,3.604577208,96.95775683,0,1,5036,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,kolam renang bukit hijau putroe aloeh alue seulaseh,4.0,32,Air,3.784595423,96.8221959,0,1,5091,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,wisata putroe aloih,4.5,53,Air,3.788363729,96.83180894,0,1,14248,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,dermaga lhok pawoh,4.2,13,Air,3.625798393,96.90158766,0,1,3178,True,False,False,False,False
Sumatra,Aceh,Aceh Barat Daya,puncak gunung sabi,4.6,10,Bukit,3.618777963,96.95334218,1,1,9824,False,True,False,False,False
Sumatra,Aceh,Aceh Barat Daya,pantai lama tuha,4.8,15,Air,3.741582874,96.74960891,0,1,7829,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,wahana impian malaka 69,4.3,2196,Air,5.41981954,95.40428246,0,2,13220,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,taman konservasi elang putih,5.0,1,Taman,5.422707375,95.40278686,4,2,11504,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,taman rusa lam tanjong,4.3,1760,Taman,5.450586299,95.36774565,4,2,11928,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,jantho panorama park,4.4,398,Taman,5.28355501,95.60276284,4,2,4390,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,pantai lhokseudu,4.3,995,Air,5.354261443,95.24062938,0,2,7874,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,tebing babah dua lampuuk,4.6,72,Air,5.5029131,95.2288779,0,2,12412,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,lampuuk beach,4.6,2024,Air,5.489072449,95.22595966,0,2,5470,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,pantai ujong batee,4.1,576,Air,5.650176305,95.41952132,0,2,8860,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,wisata air terjun suhom,4.2,25,Air,5.285792146,95.26102186,0,2,13542,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,air terjun kuta malaka,4.4,248,Air,5.391328585,95.36643806,0,2,555,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,air terjun peukan biluy,4.0,60,Air,5.460514903,95.32641411,0,2,766,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,taman hutan raya pocut meurah intan,4.4,185,Taman,5.443547565,95.75953461,4,2,11388,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,waduk keuliling,4.0,189,Air,5.366368976,95.47906354,0,2,13179,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,pantai lhoknga,4.5,377,Air,5.446992625,95.24534326,0,2,7873,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,teluk jantang beach,4.4,80,Air,5.269516527,95.24757384,0,2,12496,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,wisata bukit monumen aceh besar,4.4,41,Taman,5.591345263,95.51386881,4,2,13784,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,pucok krueng,4.5,223,Air,5.460833658,95.26147815,0,2,9686,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,"brayeung, leupung",4.3,862,Air,5.367554003,95.28448449,0,2,1894,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,benteng inong balee(janda),4.4,65,Bukit,5.608553688,95.53010916,1,2,1757,False,True,False,False,False
Sumatra,Aceh,Aceh Besar,benteng kuta lubok,4.1,29,Bukit,5.610047788,95.5360817,1,2,1765,False,True,False,False,False
Sumatra,Aceh,Aceh Besar,bukit lamreh,4.4,453,Bukit,5.616294809,95.54397851,1,2,2140,False,True,False,False,False
Sumatra,Aceh,Aceh Besar,pemandian air panas aceh besar,4.2,1081,Air,5.54716798,95.54760914,0,2,9295,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,taman wisata burung dara,3.5,312,Taman,5.405577374,95.43710156,4,2,12169,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,ilalang park,4.3,153,Taman,5.537222804,95.50123042,4,2,4299,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,rumoh cut nyak dhien,4.6,1132,Monumen,5.51698414,95.27219798,2,2,10313,False,False,True,False,False
Sumatra,Aceh,Aceh Besar,pantai penyu,4.3,569,Air,5.412944771,95.24759897,0,2,8355,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,kebun kurma aceh,4.4,786,Taman,5.542795111,95.51165183,4,2,4812,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,gunung seulawah agam,4.1,211,Bukit,5.4482688,95.65823888,1,2,4093,False,True,False,False,False
Sumatra,Aceh,Aceh Besar,gunung meucica,4.5,16,Bukit,5.219689547,95.50910862,1,2,4040,False,True,False,False,False
Sumatra,Aceh,Aceh Besar,bukit siron,4.7,86,Bukit,5.278835286,95.47065647,1,2,2305,False,True,False,False,False
Sumatra,Aceh,Aceh Besar,gurun putih lestari safari park,4.5,489,Taman,5.314046547,95.56678684,4,2,4138,False,False,False,False,True
Sumatra,Aceh,Aceh Besar,mataie hillside adventure & water park,4.0,331,Air,5.494856853,95.31032475,0,2,6078,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,kubah mesjid sisa tsunami,4.5,250,Monumen,5.539623776,95.26534947,2,2,5386,False,False,True,False,False
Sumatra,Aceh,Aceh Besar,benteng kerajaan aceh lamuri - indrapatra,4.3,281,Monumen,5.636664049,95.48782261,2,2,1760,False,False,True,False,False
Sumatra,Aceh,Aceh Besar,pantai lampuuk,4.6,2026,Air,5.491097646,95.22689732,0,2,7836,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,"blang ulam, kreung raya",4.0,32,Air,5.629830753,95.60867222,0,2,1832,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,pantai lhok mata ie,4.6,287,Air,5.575161516,95.24646671,0,2,7870,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,air terjun peucari jantho,4.4,67,Air,5.237809937,95.65605076,0,2,765,True,False,False,False,False
Sumatra,Aceh,Aceh Besar,wisata panorama alam bukit jalin,4.6,170,Bukit,5.350855867,95.90910556,1,2,14117,False,True,False,False,False
Sumatra,Aceh,Aceh Jaya,danau aneuk laot,4.4,21,Air,5.915143129,95.44869645,0,3,2904,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,pasie saka beach,4.5,42,Air,4.828377267,95.41258949,0,3,9128,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,gunung hulumasen,4.1,101,Bukit,5.057663204,95.66409491,1,3,3986,False,True,False,False,False
Sumatra,Aceh,Aceh Jaya,taman wisata ajay geulumpang raya,4.1,55,Taman,4.710820428,95.52207227,4,3,12120,False,False,False,False,True
Sumatra,Aceh,Aceh Jaya,air terjun ceuraceu alue teungoh,4.6,7,Air,4.579683377,95.79337986,0,3,315,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,pantai rigaih,4.0,202,Air,4.671736371,95.57983311,0,3,8468,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,wisata alam air terjun sabet,4.6,15,Air,5.159854369,95.45864018,0,3,13559,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,ujong seudeuen,3.9,11,Air,5.123001026,95.31058545,0,3,13068,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,komplek makam sultan alaidin riayat syah po teumeureuhom daya,4.6,98,Taman,5.084359366,95.33084149,4,3,5332,False,False,False,False,True
Sumatra,Aceh,Aceh Jaya,ceurace ie embon,5.0,6,Air,4.653676866,95.99208112,0,3,2620,True,False,False,False,False
Sumatra,Aceh,Aceh Jaya,puncak gunung geurute,4.6,3127,Bukit,5.099220516,95.47239902,1,3,9817,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,waterfalls of cold water,4.3,678,Air,3.358296719,97.16203752,0,4,13372,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,benteng kerajaan trumon - cagar budaya aceh selatatan,4.3,38,Monumen,2.827872256,97.63706019,2,4,1761,False,False,True,False,False
Sumatra,Aceh,Aceh Selatan,pulau dua,4.5,154,Bukit,2.884618406,97.52005981,1,4,9702,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,danau laut bangko,4.8,4,Air,3.014283148,97.47292296,0,4,3003,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,masjid tuo nurul huda pulo kambing - cagar budaya aceh selatan,4.8,16,Religi,3.105060326,97.37380932,3,4,6057,False,False,False,True,False
Sumatra,Aceh,Aceh Selatan,pantai ujung batu,4.3,150,Air,3.222932901,97.27280179,0,4,8869,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,pantai lhok rukam,4.5,53,Air,3.233858018,97.23387181,0,4,7872,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,tapak tuan tapa,4.5,1858,Air,3.255077619,97.17936983,0,4,12392,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,air terjun air dingin,4.3,678,Air,3.349824995,97.13265384,0,4,167,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,pantai keumumu hilir,4.7,19,Air,3.516608356,97.02996286,0,4,7731,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,air terjun simpang,4.4,26,Air,3.577726852,97.02301859,0,4,909,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,pemandian panton luas sawang,4.8,4,Air,3.395553189,97.15491154,0,4,9374,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,air terjun tingkat tujuh,4.3,327,Air,3.258661672,97.20814871,0,4,1026,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,taman pala indah,4.3,699,Taman,3.255464785,97.18125934,4,4,11759,False,False,False,False,True
Sumatra,Aceh,Aceh Selatan,gunung raban,5.0,2,Bukit,3.256643052,97.18756789,1,4,4074,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,air terjun lubuek,4.2,20,Air,3.269196863,97.1775257,0,4,615,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,kolam renang aroya,3.8,48,Air,3.267343793,97.18991751,0,4,5064,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,gunung sidoro,5.0,2,Bukit,3.264272086,97.20335663,1,4,4096,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,bukit gemilang - tapak tuan,4.3,119,Bukit,3.269606364,97.19621122,1,4,2059,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,gunung alur naga,4.0,18,Bukit,3.245278425,97.22071994,1,4,3937,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,puncak sigantang sira gunung kapho trumon aceh selatan,4.5,91,Bukit,2.891872677,97.6051992,1,4,9935,False,True,False,False,False
Sumatra,Aceh,Aceh Selatan,waterboom anugerah (wa) ladang rimba,3.8,15,Air,2.898782671,97.64416312,0,4,13321,True,False,False,False,False
Sumatra,Aceh,Aceh Selatan,tangga seribu waterfall,4.7,3,Air,2.914178472,97.72658213,0,4,12311,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,air terjun lae petal,2.7,3,Air,2.537497938,98.05047379,0,5,562,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,"wisata danau anak laut indah, aceh singkil",4.3,66,Air,2.275818946,97.88280341,0,5,13820,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,pantai pulo sarok,4.1,58,Air,2.272731475,97.82186363,0,5,8425,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,pantai taluk bayu,4.3,23,Air,2.308065467,97.7437577,0,5,8679,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,pantai bokek,5.0,1,Air,2.215269016,98.07283256,0,5,7236,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,pantai cemara indah,4.3,25,Air,2.27297868,97.95443085,0,5,7316,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,wisata sungai d4,4.2,16,Air,2.552001797,97.97193065,0,5,14321,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,danau bungara,3.9,16,Air,2.493016415,97.85513928,0,5,2947,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,waduk sianjo-anjo,4.2,112,Air,2.420090672,97.98404671,0,5,13197,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,wisata kolam renang pulo madura(madura island),3.8,74,Air,2.398230061,97.97076558,0,5,14014,True,False,False,False,False
Sumatra,Aceh,Aceh Singkil,pulo tabek mangrove park aceh singkil,4.4,8,Taman,2.272071118,97.94238934,4,5,9746,False,False,False,False,True
Sumatra,Aceh,Aceh Tamiang,tourism kuala paret,4.3,131,Taman,4.170297925,97.8419289,4,6,12731,False,False,False,False,True
Sumatra,Aceh,Aceh Tamiang,bukit kerang,3.5,14,Bukit,4.405384477,98.18705376,1,6,2115,False,True,False,False,False
Sumatra,Aceh,Aceh Tamiang,wisata pemandian sungai gunung pandan,4.1,212,Air,4.074770751,97.88005688,0,6,14200,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,air terjun sangkapane,4.4,45,Air,4.278162804,97.80177929,0,6,843,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,pemandian air panas kaloy,4.7,16,Air,4.211056119,97.8999696,0,6,9305,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,istana kerajaan karang,4.2,114,Monumen,4.298661093,98.07910011,2,6,4342,False,False,True,False,False
Sumatra,Aceh,Aceh Tamiang,water boom harapan tirta,3.9,143,Air,4.278119401,98.12167213,0,6,13291,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,wisata kuala paret,4.3,131,Air,4.167869636,97.88821266,0,6,14024,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,air terjun gunung pandan,5.0,4,Air,4.06513854,97.96305702,0,6,429,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,wisata sungai bampo,5.0,2,Air,4.247228863,97.80197536,0,6,14319,True,False,False,False,False
Sumatra,Aceh,Aceh Tamiang,wisata dam sungai rengas,4.5,4,Air,4.015060996,98.00728237,0,6,13817,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,objek wisata sejarah atu belah penarun aceh tengah,4.2,15,Monumen,4.546830288,97.15507522,2,7,6771,False,False,True,False,False
Sumatra,Aceh,Aceh Tengah,danau laut tawar aceh tengah,4.4,10,Air,4.782253833,97.00675979,0,7,3005,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,dermaga pantai menye,4.6,46,Air,4.63170134,97.16880813,0,7,3183,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,air terjun mengaya,4.4,154,Air,4.702875668,97.07542434,0,7,663,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,bur gayo takengon,4.4,398,Bukit,4.627252708,96.85295119,1,7,2470,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,ujung nunang,4.3,161,Bukit,4.606035759,96.94015517,1,7,13071,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,burtelege villa gayo high land,4.6,102,Bukit,4.619039771,96.81312575,1,7,2474,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,goa loyang koro,4.0,163,Taman,4.596453704,96.8742372,4,7,3764,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,pante menye,4.4,849,Air,4.605351331,97.04177871,0,7,9054,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,bur telege - takengon,4.5,1248,Bukit,4.624072385,96.83124235,1,7,2471,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,pantai ulung-ulung,4.6,19,Air,4.634572654,96.98639072,0,7,8885,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,loyang mendale,4.2,38,Bukit,4.654629776,96.91096297,1,7,5669,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,pante gemasih,4.4,131,Air,4.654629776,96.97756758,0,7,9050,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,danau takengon lut tawar,4.9,12,Air,4.663526671,96.89105025,0,7,3093,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,pante ketibung danau laut tawar,4.3,205,Air,4.67173909,96.94804182,0,7,9053,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,pante bintang,4.3,43,Air,4.602614911,97.02906599,0,7,9049,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,pantan terong,4.5,3095,Bukit,4.656682915,96.77844038,1,7,9047,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,tambatan perahu lot kala,4.3,162,Air,4.654800871,96.85362807,0,7,12285,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,buntul rintis,4.2,686,Taman,4.651721151,96.83886519,4,7,2466,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,putri pukes cave,4.2,295,Bukit,4.646930448,96.90855971,1,7,10094,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,natural park takengon,4.1,287,Taman,4.663355578,96.86907759,4,7,6588,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,lungundi park,4.2,16,Taman,4.649667996,96.86255446,4,7,5690,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,lancuk leweng,4.4,90,Bukit,4.614421252,96.82410231,1,7,5472,False,True,False,False,False
Sumatra,Aceh,Aceh Tengah,jiva takengon lakeside camping,4.6,70,Taman,4.613394621,97.00022688,4,7,4478,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,air terjun tansaran bidin,4.5,140,Air,4.725630695,96.96829787,0,7,977,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,gayo quine pante gading bebuli takengon,4.2,70,Air,4.649325804,96.87010756,0,7,3593,True,False,False,False,False
Sumatra,Aceh,Aceh Tengah,taman digital aceh tengah,4.1,217,Taman,4.630847138,96.84916487,4,7,11279,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,dermaga wisata,4.1,286,Taman,4.617843343,96.88315382,4,7,3208,False,False,False,False,True
Sumatra,Aceh,Aceh Tengah,masjid agung ruhama kota takengon,4.6,216,Religi,4.621216213,96.84751724,3,7,5918,False,False,False,True,False
Sumatra,Aceh,Aceh Tengah,umah pitu ruang,4.3,40,Monumen,4.627424167,96.84814311,2,7,13086,False,False,True,False,False
Sumatra,Aceh,Aceh Tenggara,wisata aceh tenggara air sungai salim pipit,4.0,5,Air,3.30561936,97.95211744,0,8,13495,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,wisata air terjun lawe dua,4.0,21,Air,3.427631313,97.8587337,0,8,13534,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,air terjun jambur lateng,5.0,7,Air,3.542774388,97.92739825,0,8,447,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,ketambe adventure,5.0,120,Taman,3.704926989,97.69050554,4,8,4950,False,False,False,False,True
Sumatra,Aceh,Aceh Tenggara,gunung bandahara,4.0,83,Bukit,3.758818083,97.81903726,1,8,3946,False,True,False,False,False
Sumatra,Aceh,Aceh Tenggara,taman nasional gunung leuser,4.6,243,Taman,3.524387615,97.50399549,4,8,11727,False,False,False,False,True
Sumatra,Aceh,Aceh Tenggara,wisata air panas lawe ger ger,4.2,13,Air,3.780214513,97.6440807,0,8,13516,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,wisata alam lawe sikap,4.2,81,Air,3.504055548,97.83634148,0,8,13631,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,pondok wisata batu mbogoh,3.0,3,Taman,3.488949592,97.79808329,4,8,9626,False,False,False,False,True
Sumatra,Aceh,Aceh Tenggara,"alas hills, kutacane",4.2,81,Taman,3.484023462,97.79778288,4,8,1176,False,False,False,False,True
Sumatra,Aceh,Aceh Tenggara,bukit cinta,4.1,28,Bukit,3.490882381,97.79644908,1,8,2017,False,True,False,False,False
Sumatra,Aceh,Aceh Tenggara,masjid agung at-taqwa,4.8,558,Religi,3.484680832,97.81119008,3,8,5890,False,False,False,True,False
Sumatra,Aceh,Aceh Tenggara,air terjun lawe sikap,4.3,9,Air,3.516899756,97.61907547,0,8,581,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,lapangan ahmad yani,4.4,1029,Taman,3.501821882,97.87862748,4,8,5487,False,False,False,False,True
Sumatra,Aceh,Aceh Tenggara,wisata lawe harum,4.9,11,Air,3.545332337,97.80997038,0,8,14037,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,pondok jamniz,3.9,185,Air,3.452509787,97.83594118,0,8,9619,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,pemandian lawe lubang,4.3,29,Air,3.409242976,97.82572733,0,8,9364,True,False,False,False,False
Sumatra,Aceh,Aceh Tenggara,intan waterboom,3.7,114,Air,3.30131152,97.96912072,0,8,4323,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,air terjun terujak,4.4,14,Air,4.404349267,97.51345854,0,9,1009,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,wisata air panas terujak,4.1,15,Air,4.402295411,97.52384405,0,9,13519,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,pantai kuala parek,4.7,27,Air,4.677513072,98.00338082,0,9,7778,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,pantai leuge,4.2,404,Air,4.81300284,97.98140816,0,9,7867,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,wisata pantai pelangi cemara indah,4.1,36,Air,4.937605683,97.81283669,0,9,14165,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,pantai peudawa,4.2,69,Air,4.931277752,97.8265696,0,9,8368,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,"pantai ulee blang, idi rayeuk",4.7,15,Air,4.979847346,97.77386956,0,9,8881,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,pantai alue dua muka,4.3,13,Air,4.985661777,97.76305489,0,9,7001,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,air terjun atu kapur,4.6,34,Air,4.702335861,97.48151963,0,9,186,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,gunung mugajah,3.8,46,Bukit,4.274280915,97.54023912,1,9,4041,False,True,False,False,False
Sumatra,Aceh,Aceh Timur,pantai matang rayeuk,4.5,12,Air,4.982169097,98.21999868,0,9,7989,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,pantai pelangi matang rayeuk pp,4.1,171,Air,5.105286684,97.88766225,0,9,8336,True,False,False,False,False
Sumatra,Aceh,Aceh Timur,kuala panggoh,3.9,24,Air,4.568875869,97.30264028,0,9,5382,True,False,False,False,False
Sumatra,Aceh,Aceh Utara,air terjun blang kolam,4.2,421,Air,5.083284758,96.94473768,0,10,279,True,False,False,False,False
Sumatra,Aceh,Aceh Utara,"krueng tuan, nisam antara",4.1,257,Air,5.00120617,96.93100477,0,10,5375,True,False,False,False,False
Sumatra,Aceh,Aceh Utara,wisata alam buket gajah,4.9,7,Bukit,5.062766085,97.20566297,1,10,13575,False,True,False,False,False
Sumatra,Aceh,Aceh Utara,air terjun alue meuh,4.4,47,Air,5.099373582,96.84447849,0,10,171,True,False,False,False,False
Sumatra,Aceh,Aceh Utara,pemandian krueng sawang,3.7,3,Air,5.158188666,96.82387912,0,10,9362,True,False,False,False,False
